"COU","Country","SOURCE","Source","SERIES","Series","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","SVY","Survey data","TUM","Union members","2011","2011","NBR","Number","3","Thousands",,,498,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2012","2012","NBR","Number","3","Thousands",,,469,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2013","2013","NBR","Number","3","Thousands",,,456,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2014","2014","NBR","Number","3","Thousands",,,431,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2015","2015","NBR","Number","3","Thousands",,,433,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2016","2016","NBR","Number","3","Thousands",,,416,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2017","2017","NBR","Number","3","Thousands",,,448,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2018","2018","NBR","Number","3","Thousands",,,461,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","1998","1998","NBR","Number","3","Thousands",,,22314,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2000","2000","NBR","Number","3","Thousands",,,24065,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2002","2002","NBR","Number","3","Thousands",,,24361,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2005","2005","NBR","Number","3","Thousands",,,26832,"B","Break"
"MEX","Mexico","SVY","Survey data","EEM","Employees","2006","2006","NBR","Number","3","Thousands",,,28259,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2007","2007","NBR","Number","3","Thousands",,,28844,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2008","2008","NBR","Number","3","Thousands",,,29806,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2009","2009","NBR","Number","3","Thousands",,,29872,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2010","2010","NBR","Number","3","Thousands",,,30123,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2011","2011","NBR","Number","3","Thousands",,,30708,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2012","2012","NBR","Number","3","Thousands",,,31716,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2013","2013","NBR","Number","3","Thousands",,,32547,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2014","2014","NBR","Number","3","Thousands",,,33384,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2015","2015","NBR","Number","3","Thousands",,,33897,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2016","2016","NBR","Number","3","Thousands",,,34756,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2017","2017","NBR","Number","3","Thousands",,,35692,,
"MEX","Mexico","SVY","Survey data","EEM","Employees","2018","2018","NBR","Number","3","Thousands",,,36424,,
"HUN","Hungary","SVY","Survey data","TUD","Trade union  density","2004","2004","PC","Percentage","0","Units",,,16.8,,
"HUN","Hungary","SVY","Survey data","TUD","Trade union  density","2009","2009","PC","Percentage","0","Units",,,11.9,,
"HUN","Hungary","SVY","Survey data","TUD","Trade union  density","2015","2015","PC","Percentage","0","Units",,,9,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","1998","1998","NBR","Number","3","Thousands",,,23148,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","1999","1999","NBR","Number","3","Thousands",,,23511,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2000","2000","NBR","Number","3","Thousands",,,23928,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2001","2001","NBR","Number","3","Thousands",,,24062,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2002","2002","NBR","Number","3","Thousands",,,24371,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2003","2003","NBR","Number","3","Thousands",,,24280,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2004","2004","NBR","Number","3","Thousands",,,24584,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2005","2005","NBR","Number","3","Thousands",,,24742,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2006","2006","NBR","Number","3","Thousands",,,24927,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2007","2007","NBR","Number","3","Thousands",,,25181,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2008","2008","NBR","Number","3","Thousands",,,25205,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2009","2009","NBR","Number","3","Thousands",,,24663,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2010","2010","NBR","Number","3","Thousands",,,24735,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2011","2011","NBR","Number","3","Thousands",,,24765,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2012","2012","NBR","Number","3","Thousands",,,24921,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2013","2013","NBR","Number","3","Thousands",,,25304,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2014","2014","NBR","Number","3","Thousands",,,25845,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2015","2015","NBR","Number","3","Thousands",,,26297,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2016","2016","NBR","Number","3","Thousands",,,26451,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2017","2017","NBR","Number","3","Thousands",,,26811,,
"GBR","United Kingdom","SVY","Survey data","EEM","Employees","2018","2018","NBR","Number","3","Thousands",,,27137,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","1999","1999","NBR","Number","3","Thousands",,,1183,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2001","2001","NBR","Number","3","Thousands",,,1096,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2003","2003","NBR","Number","3","Thousands",,,1164,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2006","2006","NBR","Number","3","Thousands",,,1186,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2007","2007","NBR","Number","3","Thousands",,,1240,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2008","2008","NBR","Number","3","Thousands",,,1260,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2009","2009","NBR","Number","3","Thousands",,,1160,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2010","2010","NBR","Number","3","Thousands",,,1112,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2011","2011","NBR","Number","3","Thousands",,,1121,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2012","2012","NBR","Number","3","Thousands",,,1135,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2013","2013","NBR","Number","3","Thousands",,,1141,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2014","2014","NBR","Number","3","Thousands",,,1159,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2015","2015","NBR","Number","3","Thousands",,,1171,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2016","2016","NBR","Number","3","Thousands",,,1193,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2017","2017","NBR","Number","3","Thousands",,,1192,,
"LTU","Lithuania","ADM","Administrative data","EEM","Employees","2018","2018","NBR","Number","3","Thousands",,,1214,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","1999","1999","PC","Percentage","0","Units",,,29.1,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2000","2000","PC","Percentage","0","Units",,,24.7,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2001","2001","PC","Percentage","0","Units",,,23.1,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2002","2002","PC","Percentage","0","Units",,,17.8,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2003","2003","PC","Percentage","0","Units",,,24,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2004","2004","PC","Percentage","0","Units",,,23.7,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2005","2005","PC","Percentage","0","Units",,,26,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2006","2006","PC","Percentage","0","Units",,,19.4,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2007","2007","PC","Percentage","0","Units",,,15.8,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2008","2008","PC","Percentage","0","Units",,,15.2,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2009","2009","PC","Percentage","0","Units",,,16.3,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2010","2010","PC","Percentage","0","Units",,,18.3,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2011","2011","PC","Percentage","0","Units",,,17,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2012","2012","PC","Percentage","0","Units",,,15.4,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2014","2014","PC","Percentage","0","Units",,,15,,
"POL","Poland","ADM","Administrative data","TUD","Trade union  density","2016","2016","PC","Percentage","0","Units",,,12.7,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","1998","1998","NBR","Number","3","Thousands",,,3294,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","1999","1999","NBR","Number","3","Thousands",,,3266,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2000","2000","NBR","Number","3","Thousands",,,3232,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2001","2001","NBR","Number","3","Thousands",,,3204,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2002","2002","NBR","Number","3","Thousands",,,3193,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2003","2003","NBR","Number","3","Thousands",,,3185,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2004","2004","NBR","Number","3","Thousands",,,3160,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2005","2005","NBR","Number","3","Thousands",,,3133,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2006","2006","NBR","Number","3","Thousands",,,3102,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2007","2007","NBR","Number","3","Thousands",,,2921,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2008","2008","NBR","Number","3","Thousands",,,2856,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2009","2009","NBR","Number","3","Thousands",,,2845,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2010","2010","NBR","Number","3","Thousands",,,2829,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2011","2011","NBR","Number","3","Thousands",,,2830,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2012","2012","NBR","Number","3","Thousands",,,2853,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2013","2013","NBR","Number","3","Thousands",,,2862,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2014","2014","NBR","Number","3","Thousands",,,2898,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2015","2015","NBR","Number","3","Thousands",,,2942,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2016","2016","NBR","Number","3","Thousands",,,2954,,
"SWE","Sweden","ADM","Administrative data","TUM","Union members","2017","2017","NBR","Number","3","Thousands",,,2970,,
"POL","Poland","ADM","Administrative data","TUM","Union members","1999","1999","NBR","Number","3","Thousands",,,3194,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2000","2000","NBR","Number","3","Thousands",,,2603,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2001","2001","NBR","Number","3","Thousands",,,2356,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2002","2002","NBR","Number","3","Thousands",,,1765,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2003","2003","NBR","Number","3","Thousands",,,2375,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2004","2004","NBR","Number","3","Thousands",,,2397,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2005","2005","NBR","Number","3","Thousands",,,2726,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2006","2006","NBR","Number","3","Thousands",,,2133,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2007","2007","NBR","Number","3","Thousands",,,1838,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2008","2008","NBR","Number","3","Thousands",,,1849,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2009","2009","NBR","Number","3","Thousands",,,2000,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2010","2010","NBR","Number","3","Thousands",,,2174,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2011","2011","NBR","Number","3","Thousands",,,2042,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2012","2012","NBR","Number","3","Thousands",,,1864,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2014","2014","NBR","Number","3","Thousands",,,1874,,
"POL","Poland","ADM","Administrative data","TUM","Union members","2016","2016","NBR","Number","3","Thousands",,,1633,,
"MEX","Mexico","ADM","Administrative data","TUD","Trade union  density","1998","1998","PC","Percentage","0","Units",,,16.6,,
"MEX","Mexico","ADM","Administrative data","TUD","Trade union  density","2000","2000","PC","Percentage","0","Units",,,16.7,,
"MEX","Mexico","ADM","Administrative data","TUD","Trade union  density","2008","2008","PC","Percentage","0","Units",,,14.7,,
"MEX","Mexico","ADM","Administrative data","TUD","Trade union  density","2009","2009","PC","Percentage","0","Units",,,14.5,,
"MEX","Mexico","ADM","Administrative data","TUD","Trade union  density","2010","2010","PC","Percentage","0","Units",,,13.8,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","1998","1998","NBR","Number","3","Thousands",,,3185,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","1999","1999","NBR","Number","3","Thousands",,,3192,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2000","2000","NBR","Number","3","Thousands",,,3222,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2001","2001","NBR","Number","3","Thousands",,,3236,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2002","2002","NBR","Number","3","Thousands",,,3219,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2003","2003","NBR","Number","3","Thousands",,,3303,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2004","2004","NBR","Number","3","Thousands",,,3219,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2005","2005","NBR","Number","3","Thousands",,,3261,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2006","2006","NBR","Number","3","Thousands",,,3326,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2007","2007","NBR","Number","3","Thousands",,,3385,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2008","2008","NBR","Number","3","Thousands",,,3452,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2009","2009","NBR","Number","3","Thousands",,,3437,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2010","2010","NBR","Number","3","Thousands",,,3460,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2011","2011","NBR","Number","3","Thousands",,,3513,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2012","2012","NBR","Number","3","Thousands",,,3549,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2013","2013","NBR","Number","3","Thousands",,,3561,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2014","2014","NBR","Number","3","Thousands",,,3564,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2015","2015","NBR","Number","3","Thousands",,,3606,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2016","2016","NBR","Number","3","Thousands",,,3680,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2017","2017","NBR","Number","3","Thousands",,,3730,,
"AUT","Austria","ADM","Administrative data","EEM","Employees","2018","2018","NBR","Number","3","Thousands",,,3796,,
"CAN","Canada","SVY","Survey data","TUM","Union members","1998","1998","NBR","Number","3","Thousands",,,3549,,
"CAN","Canada","SVY","Survey data","TUM","Union members","1999","1999","NBR","Number","3","Thousands",,,3577,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2000","2000","NBR","Number","3","Thousands",,,3721,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2001","2001","NBR","Number","3","Thousands",,,3817,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2002","2002","NBR","Number","3","Thousands",,,3897,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2003","2003","NBR","Number","3","Thousands",,,3987,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2004","2004","NBR","Number","3","Thousands",,,4005,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2005","2005","NBR","Number","3","Thousands",,,4052,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2006","2006","NBR","Number","3","Thousands",,,4083,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2007","2007","NBR","Number","3","Thousands",,,4158,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2008","2008","NBR","Number","3","Thousands",,,4178,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2009","2009","NBR","Number","3","Thousands",,,4124,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2010","2010","NBR","Number","3","Thousands",,,4190,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2011","2011","NBR","Number","3","Thousands",,,4219,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2012","2012","NBR","Number","3","Thousands",,,4322,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2013","2013","NBR","Number","3","Thousands",,,4367,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2014","2014","NBR","Number","3","Thousands",,,4283,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2015","2015","NBR","Number","3","Thousands",,,4341,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2016","2016","NBR","Number","3","Thousands",,,4347,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2017","2017","NBR","Number","3","Thousands",,,4439,,
"CAN","Canada","SVY","Survey data","TUM","Union members","2018","2018","NBR","Number","3","Thousands",,,4438,,
"FIN","Finland","SVY","Survey data","EEM","Employees","2008","2008","NBR","Number","3","Thousands",,,2207,,
"FIN","Finland","SVY","Survey data","EEM","Employees","2009","2009","NBR","Number","3","Thousands",,,2123,,
"FIN","Finland","SVY","Survey data","EEM","Employees","2010","2010","NBR","Number","3","Thousands",,,2120,,
"FIN","Finland","SVY","Survey data","EEM","Employees","2011","2011","NBR","Number","3","Thousands",,,2143,,
"FIN","Finland","SVY","Survey data","EEM","Employees","2012","2012","NBR","Number","3","Thousands",,,2146,,
"FIN","Finland","SVY","Survey data","EEM","Employees","2013","2013","NBR","Number","3","Thousands",,,2127,,
"FIN","Finland","SVY","Survey data","EEM","Employees","2014","2014","NBR","Number","3","Thousands",,,2105,,
"FIN","Finland","SVY","Survey data","EEM","Employees","2015","2015","NBR","Number","3","Thousands",,,2090,,
"FIN","Finland","SVY","Survey data","EEM","Employees","2016","2016","NBR","Number","3","Thousands",,,2105,,
"FIN","Finland","SVY","Survey data","EEM","Employees","2017","2017","NBR","Number","3","Thousands",,,2147,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","1998","1998","PC","Percentage","0","Units",,,92.6,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","1999","1999","PC","Percentage","0","Units",,,89.8,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2000","2000","PC","Percentage","0","Units",,,86.6,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2001","2001","PC","Percentage","0","Units",,,83.2,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2002","2002","PC","Percentage","0","Units",,,82.7,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2003","2003","PC","Percentage","0","Units",,,82.4,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2004","2004","PC","Percentage","0","Units",,,82.4,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2005","2005","PC","Percentage","0","Units",,,81,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2006","2006","PC","Percentage","0","Units",,,78.4,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2007","2007","PC","Percentage","0","Units",,,71.9,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2008","2008","PC","Percentage","0","Units",,,69.4,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2009","2009","PC","Percentage","0","Units",,,70.8,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2010","2010","PC","Percentage","0","Units",,,70.2,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2011","2011","PC","Percentage","0","Units",,,68.3,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2012","2012","PC","Percentage","0","Units",,,68.4,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2013","2013","PC","Percentage","0","Units",,,68,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2014","2014","PC","Percentage","0","Units",,,67.7,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2015","2015","PC","Percentage","0","Units",,,67.8,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2016","2016","PC","Percentage","0","Units",,,66.9,,
"SWE","Sweden","ADM","Administrative data","TUD","Trade union  density","2017","2017","PC","Percentage","0","Units",,,65.6,,
"ISL","Iceland","ADM","Administrative data","TUM","Union members","1998","1998","NBR","Number","3","Thousands",,,107,,
"ISL","Iceland","ADM","Administrative data","TUM","Union members","1999","1999","NBR","Number","3","Thousands",,,110,,
"ISL","Iceland","ADM","Administrative data","TUM","Union members","2000","2000","NBR","Number","3","Thousands",,,115,,
"ISL","Iceland","ADM","Administrative data","TUM","Union members","2001","2001","NBR","Number","3","Thousands",,,117,,
"ISL","Iceland","ADM","Administrative data","TUM","Union members","2002","2002","NBR","Number","3","Thousands",,,121,,
"ISL","Iceland","ADM","Administrative data","TUM","Union members","2004","2004","NBR","Number","3","Thousands",,,119,,
"ISL","Iceland","ADM","Administrative data","TUM","Union members","2008","2008","NBR","Number","3","Thousands",,,135,,
"ISL","Iceland","ADM","Administrative data","TUM","Union members","2011","2011","NBR","Number","3","Thousands",,,122,,
"ISL","Iceland","ADM","Administrative data","TUM","Union members","2013","2013","NBR","Number","3","Thousands",,,134,,
"ISL","Iceland","ADM","Administrative data","TUM","Union members","2015","2015","NBR","Number","3","Thousands",,,145,,
"ISL","Iceland","ADM","Administrative data","TUM","Union members","2016","2016","NBR","Number","3","Thousands",,,151,,
"ISL","Iceland","ADM","Administrative data","TUM","Union members","2018","2018","NBR","Number","3","Thousands",,,160,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","1998","1998","PC","Percentage","0","Units",,,9.4,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","1999","1999","PC","Percentage","0","Units",,,9.6,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2000","2000","PC","Percentage","0","Units",,,9.5,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2001","2001","PC","Percentage","0","Units",,,9.4,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2002","2002","PC","Percentage","0","Units",,,9.5,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2003","2003","PC","Percentage","0","Units",,,9.2,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2004","2004","PC","Percentage","0","Units",,,8.9,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2005","2005","PC","Percentage","0","Units",,,8.6,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2006","2006","PC","Percentage","0","Units",,,8.6,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2007","2007","PC","Percentage","0","Units",,,8.5,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2008","2008","PC","Percentage","0","Units",,,8.5,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2009","2009","PC","Percentage","0","Units",,,8.8,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2010","2010","PC","Percentage","0","Units",,,9,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2011","2011","PC","Percentage","0","Units",,,9.1,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2012","2012","PC","Percentage","0","Units",,,9.1,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2013","2013","PC","Percentage","0","Units",,,9,,
"FRA","France","ADM","Administrative data","TUD","Trade union  density","2014","2014","PC","Percentage","0","Units",,,9,,
